Use Case Name,Agency,Bureau / Department,Summary of Use Case,Stage of System Development Life Cycle,Date Initiated,Date when Development and/or Acquisition began (if applicable),Date Implemented (if applicable),Contact Email,Developer Information,Consistent with EO 13960?,
Federally Facilitated Marketplaces (FFM),Centers for Medicare & Medicaid Services (CMS),Centers for Medicare & Medicaid Services (CMS),FFM AI for Anomaly Detection and Correction| Classification| Forecasting and Predicting Time Series,Initiation,,,,hhs.caio@hhs.gov,,Yes,
Marketplace Learning Management System (MLMS),Centers for Medicare & Medicaid Services (CMS),Centers for Medicare & Medicaid Services (CMS),MLMS AI for Language Interpretation and Translation,Operation and Maintenance,9/30/2019,9/30/2019,,hhs.caio@hhs.gov,Contracted,Yes,
Medicaid And CHIP Financial (MACFin) Anomaly Detection Model for DSH Audit,Centers for Medicare & Medicaid Services (CMS),Centers for Medicare & Medicaid Services (CMS),"MACFin AI team developed machine learning model to predict anomalies within DSH audit data. The model flags top outliers in the submitted DSH hospitals data in terms of extreme behavior in the data based on amounts and other characteristics of the data to isolate the most outliers in the data. For example, out of all DSH allocations, the model can identify the top 1-5% outliers in the data for further review and auditing. Such model facilitates targeted investigations for gaps and barriers. In addition, the model can support the process by minimizing overpayment and/or underpayment and amounts redistribution",Initiation,1/1/2021,,,hhs.caio@hhs.gov,Contracted,Yes,
Medicaid And CHIP Financial (MACFin) DSH Payment Forecasting model,Centers for Medicare & Medicaid Services (CMS),Centers for Medicare & Medicaid Services (CMS),"Forecasting model to predict future DSH payment (next 1 year) based on historical data and trends (ex: last 1-3 years). Multiple models were trained based on time series (i.e., statistical models) and machine learning based model and compared for best performance in terms of average means error on DSH payment amount across all hospitals. DSH data were highly disorganized, the team spent time cleaning and combing the data from over 6 years for all states to conduct full model implementation and meaningful analysis. Predicting future DSH payment facilitates early planning and recommendations around trends, redistributions, etc. Modified models can also be built to predict other DSH-related metrics like payment-to-uncompensated ratio, underpayment, or overpayment",Initiation,3/1/2021,,,hhs.caio@hhs.gov,Contracted,Yes,
Performance Metrics Database and Analytics (PMDA),Centers for Medicare & Medicaid Services (CMS),Centers for Medicare & Medicaid Services (CMS),PMDA AI for Anomaly Detection and Correction| Language Interpretation and Translation| Knowledge Management,Initiation,,,,hhs.caio@hhs.gov,,Yes,
"Relationships, Events, Contacts, and Outreach Network (RECON)",Centers for Medicare & Medicaid Services (CMS),Centers for Medicare & Medicaid Services (CMS),RECON AI for Recommender System| Sentiment Analysis,Operation and Maintenance,4/1/2019,1/2/2019,8/1/2022,hhs.caio@hhs.gov,,Yes,
Risk Adjustment Payment Integrity Determination System (RAPIDS),Centers for Medicare & Medicaid Services (CMS),Centers for Medicare & Medicaid Services (CMS),RAPIDS AI for Classification| Process Efficiency Improvement,Operation and Maintenance,9/16/2019,9/16/2019,4/1/2020,hhs.caio@hhs.gov,Contracted,Yes,
Drug Cost Increase Predictions,Centers for Medicare & Medicaid Services (CMS),Centers for Medicare & Medicaid Services (CMS),Use Historical drug costs increases to predict future increases,Initiation,,,,hhs.caio@hhs.gov,,Yes,
Brand vs Generic Market Share,Centers for Medicare & Medicaid Services (CMS),Centers for Medicare & Medicaid Services (CMS),Analyze generic drugs compared to brand drugs over time and forecast future market shares based on Part D claims volume,Initiation,,,,hhs.caio@hhs.gov,,Yes,
Drug cost anomaly detection,Centers for Medicare & Medicaid Services (CMS),Centers for Medicare & Medicaid Services (CMS),Identify anomalies in drug costs on Part D claims,Initiation,,,,hhs.caio@hhs.gov,,Yes,
Artificial Intelligence (AI) Explorers Program Pilot - Automated Technical Profile,Centers for Medicare & Medicaid Services (CMS),Centers for Medicare & Medicaid Services (CMS),90 day Pilot is to engage in research and development to investigate applications in the generation of a machine-readable Automated Technical Profile for CMS systems with the goal of inferring the technology fingerprint of CMS projects based on multiple data sources at different stages of their development lifecycle,Development and Acquisition,9/21/2022,9/21/2022,,hhs.caio@hhs.gov,Contracted,yes,
Artificial Intelligence (AI) Explorers Program Pilot -Â  Section 508 accessibility Testing,Centers for Medicare & Medicaid Services (CMS),Centers for Medicare & Medicaid Services (CMS),90 day Pilot is to better inform CMS technical leads and Application Development Organizations (ADOs) to conduct a comprehensive analysis on the data from the test result documents in support of the CMS Section 508 Program.,Development and Acquisition,9/21/2022,9/21/2022,,hhs.caio@hhs.gov,Contracted,yes,
R+2:18eDIRECT: Clarivate,ASPR,BARDA (CBRN & DRIVe),AI to identify drug repurposing candidates,Operation and Maintenance,11/8/2021,,,hhs.caio@hhs.gov,Contracted,Yes,
ReDIRECT: AriScience,ASPR,BARDA (CBRN & DRIVe),AI to identify drug repurposing candidates,Development and Acquisition,4/6/2023,,,hhs.caio@hhs.gov,Contracted,Yes,
Burn & Blast MCMs: Rivanna,ASPR,BARDA (CBRN),AI Based algorithms on Accuro XV to detect and highlight fractures and soft tissue injuries,Development and Acquisition,10/29/2021,,,hhs.caio@hhs.gov,Contracted,Yes,
Burn & Blast MCMs: Philips ,ASPR,BARDA (CBRN),AI-based algorithms on Lumify handheld ultrasound system to detect lung injury and infectious diseases,Development and Acquisition,5/8/2020,,,hhs.caio@hhs.gov,Contracted,Yes,
Burn & Blast MCMs: Philips ,ASPR,BARDA (CBRN),AI-based algorithms on Lumify handheld ultrasound system to detect traumatic injuries,Development and Acquisition,5/8/2020,,,hhs.caio@hhs.gov,Contracted,Yes,
Burn & Bast MCMs: SpectralMD,ASPR,BARDA (CBRN),Determination of burn depth severity and burn size of injuries ,Development and Acquisition,7/1/2019,,,hhs.caio@hhs.gov,Contracted,Yes,
Digital MCM: Virufy,ASPR,BARDA (DRIVe),Using forced cough vocalization (FCV) in a smartphone to detect the presence of COVID-19 using AI.,Operation and Maintenance,7/6/2022,,,hhs.caio@hhs.gov,Contracted,Yes,
Current Health,ASPR,BARDA (DRIVe),Continuous monitoring platform and AI algorithm for COVID severity,Operation and Maintenance,9/30/2020,,,hhs.caio@hhs.gov,Contracted,Yes,
Digital MCM: Raisonance,ASPR,BARDA (DRIVe),Using forced cough vocalization (FCV) in a smartphone to detect the presence of COVID-19 and Influenza using AI.,Development and Acquisition,3/22/2023,,,hhs.caio@hhs.gov,Contracted,Yes,
Digital MCM: Visual Dx,ASPR,BARDA (DRIVe),Using smartphone image with AI to detect the presence of mPox,Development and Acquisition,9/29/2022,,,hhs.caio@hhs.gov,Contracted,Yes,
Host-Based Diagnostics: Patchd,ASPR,BARDA (DRIVe),Wearable device and AI model to predict sepsis at home.,Development and Acquisition,9/28/2022,,,hhs.caio@hhs.gov,Contracted,Yes,
MIT Lincoln Labs,ASPR,BARDA (DRIVe),Predicting the onset of COVID and Influenza with wearable device data using AI.,Development and Acquisition,9/20/2022,,,hhs.caio@hhs.gov,,Yes,
Redirect: Clarivate,ASPR,BARDA (DRIVe),AI to identify drug repurposing candidates,Operation and Maintenance,9/20/2021,,,hhs.caio@hhs.gov,,Yes,
Antiviral Screening: Janssen OTA - Influenza,ASPR,BARDA (IEIDD),Atomwise (subcontractor) Coronavirus antiviral discovery,Operation and Maintenance,7/1/2020,,,hhs.caio@hhs.gov,,Yes,
MIT Lincoln Labs,ASPR,BARDA (DRIVe),Predicting the onset of COVID and Influenza with wearable device data using AI.,Development and Acquisition,9/20/2022,,,hhs.caio@hhs.gov,,Yes,
Redirect: Clarivate,ASPR,BARDA (DRIVe),AI to identify drug repurposing candidates,Operation and Maintenance,9/20/2021,,,hhs.caio@hhs.gov,,Yes,
Antiviral Screening: Janssen OTA - Influenza,ASPR,BARDA (IEIDD),Atomwise (subcontractor) Coronavirus antiviral discovery,Operation and Maintenance,7/1/2020,,,hhs.caio@hhs.gov,,Yes,
Cyber Threat Detection/ Predictive analytics,ASPR,Office of Critical Infrastructure,Use AI and ML tools for processing of extremely large threat data,Initiation,,,,hhs.caio@hhs.gov,,Yes,
emPOWER,ASPR,"Office of Information Management, Data and Analytics",Using the AI capabilities to rapidly develop the empower COVID-19 At Risk Population data tools and program,Operation and Maintenance,,,,hhs.caio@hhs.gov,Contracted,Yes,
Community Access to Testing,ASPR,"Office of Information Management, Data and Analytics/Division of Supply Chain Control Tower",Utilizing several ML models to forecast a surge in the pandemic,Operation and Maintenance,12/2/2022,,,hhs.caio@hhs.gov,Contracted,Yes,
Ventilator Medication Model,ASPR,"Office of Information Management, Data, and Analytics/Division of Supply Chain Control Tower",Leveraging generalized additive model to project ventilated rate of COVID inpatients,Operation and Maintenance,12/2/2022,,,hhs.caio@hhs.gov,Contracted,Yes,
Modeling & Simulation,ASPR,"Office of Information Management, Data, and Analytics/Division of Modeling and Simulation",Create modeling tools and perform analyses in advance of biothreat events and be able to refine them during emergent events,Initiation,,,,hhs.caio@hhs.gov,,Yes,
Data Modernization,ASPR,Chief Data Officer,Develop open data management architecture that enables optimized business intelligence (BI) and machine learning (ML) on all ASPR data.,Initiation,,,,hhs.caio@hhs.gov,,Yes,
Product redistribution optimization,ASPR,"Office of Information Management, Data, and Analytics/ODA","Using AI and models, allow partners (jurisdictions, pharmacies, federal entities) to optimize redistribution of products based on various factors like distance, ordering/admins, equity, etc.",Development and Acquisition,4/1/2023,5/1/2023,,hhs.caio@hhs.gov,Contracted,Yes,
Highly Infectious Patient Movement optimization,ASPR,"Office of Information Management, Data, and Analytics/ODA","Given a limited number of highly infectious patient transport containers, optimize US location based on various factors like distance, population, etc. Use as a planning tool for decision-making.",Initiation,,,,hhs.caio@hhs.gov,,Yes,
AHRQ Search,AHRQ,AHRQ,"Organization wide search that includes Relevancy Tailoring, Auto-generation Synonyms, Automated Suggestions,  Suggested Related Content ,Auto Tagging, and Did you mean to allow visitors to find specific content",Operation and Maintenance,9/15/2019,9/15/2019,10/14/2020,hhs.caio@hhs.gov,Contracted,Yes,
Chatbot,AHRQ,AHRQ,Provide interface to allow user to conversationally ask questions about AHRQ content to replace public inquiry telephone line,Operation and Maintenance,10/15/2020,10/15/2020,10/14/2021,hhs.caio@hhs.gov,Contracted,Yes,
TowerScout:Automated cooling tower detection from aerial imagery for Legionnaires' Disease outbreak investigation,CDC,CSELS,"TowerScout scans aerial imagery and uses object detection and image classification models to detect cooling towers, which can be sources of community outbreaks of Legionnaires' Disease. ",Operation and Maintenance,1/1/2021,1/1/2021,,hhs.caio@hhs.gov,,Yes,
HaMLET: Harnessing Machine Learning to Eliminate Tuberculosis,CDC,CSELS,HaMLET uses computer vision models to detect TB from chest x-rays to improve the quality of overseas health screenings for immigrants and refugees seeking entry to the U.S.,Development and Acquisition,1/1/2021,1/1/2021,,hhs.caio@hhs.gov,,Yes,
Zero-shot learning to identify menstrual irregularities reported after COVID-19 vaccination,CDC,CSELS,Zero-shot learning was used to identify and classify reports of menstrual irregularities after receiving COVID-19 vaccination,Operation and Maintenance,1/1/2022,1/1/2022,,hhs.caio@hhs.gov,,Yes,
NCIRD SmartFind ChatBots - Public and Internal ,CDC,NCIRD,"Develop conversational ChatBots (Public Flu, Public COVID-19 Vaccination, Internal Knowledge-Bot) that analyze free text questions entered by the public, healthcare providers, partners, and internal staff, and provide agency-cleared answers which best match the question. Developed in collaboration with Microsoft staff during COVID-19 pandemic using their Cognitive Services, Search, QnA Maker, Azure Healthcare Bot, Power Automate, SharePoint, and webapps.",Operation and Maintenance,3/1/2020,5/1/2020,12/10/2020,hhs.caio@hhs.gov,In-house,Yes,
Semi-Automated Nonresponse Detection for Surveys (SANDS),CDC,NCHS,"NCHS has developed and release an item nonresponse detection model, to identify cases of item nonresponse (e.g., gibberish, uncertain/don't know, refusals, or high-risk) among open-text responses to help improve survey data and question and questionnaire design. The system is a Natural Language Processing (NLP) model pre-trained using Contrastive Learning and fine-tuned on a custom dataset from survey responses. ",Operation and Maintenance,5/17/2021,6/7/2021,2/13/2023,hhs.caio@hhs.gov,In-house,Yes,
Sequential Coverage Algorithm (SCA) and partial Expectation-Maximization (EM) estimation in Record Linkage,CDC,NCHS,"CDC's National Center for Health Statistics (NCHS) Data Linkage Program has implemented both supervised and unsupervised machine learning (ML) techniques in their linkage algorithms. The Sequential Coverage Algorithm (SCA), a supervised ML algorithm, is used to develop joining methods (or blocking groups) when working with very large datasets. The unsupervised partial Expectation-Maximization (EM) estimation is used to estimate the proportion of pairs that are matches within each block. Both methods improve linkage accuracy and efficiency.",Operation and Maintenance,2/15/2017,9/15/2017,2/28/2018,hhs.caio@hhs.gov,Contracted,Yes,
Coding cause of death information on death certificates to ICD-10,CDC,NCHS,MedCoder ICD-10 cause of death codes to the literal text cause of death description provided by the cause of death certifier on the death certificate.  This includes codes for the underlying and contributing causes of death.,Operation and Maintenance,10/15/2017,2/1/2018,6/5/2022,hhs.caio@hhs.gov,Contracted,Yes,
Detecting Stimulant and Opioid Misuse and Illicit Use,CDC,NCHS,Analyze clinical notes to detect illicit use and miscue of stimulants and opioids,Initiation,3/15/2023,3/15/2023,,hhs.caio@hhs.gov,In-house,Yes,
AI/ML Model Release Standards,CDC,NCHS,"NCHS is creating a set of model release standards for AI/ML projects that should be adhered to throughout the Center, and could serve as a starting point for broader standards across the AI/ML development lifecycle to be created at NCHS and throughout CDC.",Development and Acquisition,10/17/2022,10/17/2022,,hhs.caio@hhs.gov,In-house,Yes,
PII detection using Private AI ,CDC,NCHS,"NCHS has been evaluating Private AI's NLP solution designed to identify, redact, and replace PII in text data. This suite of models is intended to be used to safely identify and remove PII from free text data sets across platforms within the CDC network.",Development and Acquisition,5/9/2022,4/12/2023,5/2/2023,hhs.caio@hhs.gov,Commercial-off-the-shelf,Yes,
Transcribing Cognitive Interviews with Whisper,CDC,NCHS,"Current transcription processes for cognitive interviews are limited. Manual transcription is time-consuming and the current automated solution is low quality. Recently, open-sourced AI models have been released that appear to perform substantially better than previous technologies in automated transcription of video/audio. Of note is the model by OpenAI named Whisper (publication, code, model card) which has been made available for under a fully permissive license. Although Whisper is currently considered state-of-the-art compared to other AI models in standard benchmarks, it has not been tested with cognitive interviews. We hypothesize Whisper will produce production quality transcriptions for NCHS. We plan to do a comparison against both VideoBank and a manual transcription. If the results are encouraging, we plan to transcribe all videos from the CCQDER archive. ",Development and Acquisition,11/28/2022,11/28/2022,,hhs.caio@hhs.gov,In-house,Yes,
Nowcasting Suicide Trends ,CDC,NCIPC/DIP,"An internal-facing, interactive dashboard incorporating multiple traditional and non-traditional datasets and a multi-stage machine learning pipeline to 'nowcast' suicide death trends nationally on a week-to-week basis. ",Operation and Maintenance,1/1/2021,1/1/2021,10/1/2021,hhs.caio@hhs.gov,In-house,Yes,
Automating extraction of sidewalk networks from street-level images,CDC,NCCDPHP/DNPAO,A team of scientists participating in CDC's Data Science Upskilling Program are building a computer vision model to extract information on the presence of sidewalks from street-level images from Mapillary.,Development and Acquisition,1/1/2021,1/1/2021,,hhs.caio@hhs.gov,,Yes,
Use of Natural Language Processing for Topic Modeling to Automate Review of Public Comments to Notice of Proposed Rulemaking,CDC,NCEZID,Development of a Natural Language Processing Topic Modeling tool to improve efficiency for the process of clustering public comments to a 'notice of proposed rulemaking' ,Development and Acquisition,1/1/2021,1/1/2021,,hhs.caio@hhs.gov,,Yes,
Named Entity Recognition for Opioid Use in Free Text Clinical Notes from Electronic Health Records,CDC,NCHS,A team of scientists participating in CDC's Data Science Upskilling Program are developing an NLP Named Entity Recognition model to detect the assertion or negation of opioid use in electronic medical records from the National Hospital Care Survey,Development and Acquisition,1/1/2021,1/1/2021,,hhs.caio@hhs.gov,,Yes,
"Identify walking and bicycling trips in location-based data, including global-positioning system data from smartphone applications",CDC,NCCDPHP/DNPAO,"The Division of Nutrition, Physical Activity, and Obesity at the National Center for Chronic Disease Prevention and Health Promotion is developing machine learning techniques to identify walking and bicycling trips in GPS-based data sources. Inputs would include commercially-available location-based data similar to those used to track community mobility during the COVID-19 pandemic. Outputs could include geocoded data tables, GIS layers, and maps.",Initiation,10/1/2022,10/1/2022,,hhs.caio@hhs.gov,Contracted,Yes,
Identify infrastructure supports for physical activity (e.g. sidewalks) in satellite and roadway images,CDC,NCCDPHP/DNPAO,"The Division of Nutrition, Physical Activity, and Obesity at the National Center for Chronic Disease Prevention and Health Promotion is interested in developing and promoting machine learning techniques to identify sidewalks, bicycle lanes, and other infrastructure in images, both satellite and roadway images. The inputs would include image-based data. The outputs could be geocoded data tables, maps, GIS layers, or summary reports. ",Initiation,10/1/2022,10/1/2022,,hhs.caio@hhs.gov,Contracted,Yes,
Identifying state and local policy provisions that promote or inhibit creating healthy built environments,CDC,NCCDPHP/DNPAO,"The Division of Nutrition, Physical Activity, and Obesity at the National Center for Chronic Disease Prevention and Health Promotion is interested in developing and promoting natural language processing and machine learning techniques to improve the efficiency of policy surveillance. Inputs are the text of state and local policies, including law (e.g., statute, legislation, regulation, court opinion), procedure, administrative action, etc. and outputs are datasets that capture relevant aspects of the policy as quantifiable information. To date (Apr 2023), DNAPO has not performed this work in-house, but is working with a contractor on various experiments comparing machine learning with traditional methods and identifying CDC, academic and other groups doing related work.",Initiation,10/1/2021,7/1/2022,,hhs.caio@hhs.gov,,Yes,
Validation Study of Deep Learning Algorithms to Explore the Potential Use of Artificial Intelligence for Public Health Surveillance of Eye Diseases,CDC,NCCDPHP/DDT,Applying deep learning algorithms for detecting diabetic retinopathy to the NHANES retinal photos. The purpose of this project is to determine whether these algorithms could be used in the future to replace ophthalmologist grading and grade retinal photos collected for surveillance purposes through the National Health and Nutrition Examination Survey (NHANES).,Development and Acquisition,1/15/2020,6/1/2020,6/1/2020,hhs.caio@hhs.gov,,Yes,
