Title,Agency,Summary,Development Stage,Techniques
"To enhance the SimCCS toolset to 
better account for existent 
infrastructure and to more broadly 
engage other user bases to improve 
toolset performance and 
applicability.","National Energy Technology 
Laboratory","Continue development of the SimCCS toolset, which is utilized to 
determine optimal placement for CO2 pipeline rights of way (ROW) and 
infrastructure in a machine-learning driven methodology that that 
considers environmentally sensitive areas, Justice40 considerations, 
and utilization of existent infrastructure.",,Artificial Intelligence Unknown
"To evaluate current infrastructure 
throughout a study area and 
evaluating future infrastructure 
needs to accelerate the deployment 
of CCUS","National Energy Technology 
Laboratory","One key task focuses on evaluating current infrastructure throughout the 
Initiative study area and evaluating future infrastructure needs to 
accelerate the deployment of CCUS. LANL will utilize its unique 
technologies for this project focusing on SimCCS, with a minor 
consulting role using NRAP and machine learning algorithms.",,Artificial Intelligence Unknown
"To expore and analtze hydrogen-
fueled rotating detonation engines 
using advanced turbulent 
combustion modeling and high-
fidelity simultion tools.","National Energy Technology 
Laboratory","(1) analysis of injector design effects on RDE parasitic combustion; (2) 
understanding the impact of RDE ignition mechanism and initial 
transients on the ensuing detonation wave behavior; (3) deployment and 
assessment of machine learning assisted turbulent combustion models 
for predictive and computationally-efficient RDE CFD simulations; and 
(4) development of a highly scalable high-order CFD modeling 
framework for scale-resolving simulations of full-scale RDEs and 
investigation of TCI and wall boundary layer effects.(1) analysis of 
injector design effects on RDE parasitic combustion; (2) understanding 
the impact of RDE ignition mechanism and initial transients on the 
ensuing detonation wave behavior; (3) deployment and assessment of 
machine learning assisted turbulent combustion models for predictive 
and computationally-efficient RDE CFD simulations; and (4) 
development of a highly scalable high-order CFD modeling framework 
for scale-resolving simulations of full-scale RDEs and investigation of 
TCI and wall boundary layer effects.",,Artificial Intelligence Unknown
"To fill critical data gaps in big data 
analytics and machine learning 
applications to inform decision 
making and improve the ultimate 
recovery of unconventional oil and 
natural gas resources.","National Energy Technology 
Laboratory","Project will conduct numerical analysis of all-digital pressure sensing 
technology will be used to create a synthetic dataset with downhole 
pressure sensor readings for each stage and will be analyzed 
statistically with DA to integrate with software.",,"Artificial 
Intelligence, Big 
Data"
"To help automate data discovery 
and preparations to support a range 
of CS models, tools, and products","National Energy Technology 
Laboratory","AI & ML are used to help collect and process data from multipel sources 
to further integrate and characterize infromation to provide additional 
data and infromation to support a range of carbon storage work",,"Big Data, Natural 
Language 
Processing, Other"
"To help automate data integration 
and exploration for geologic core 
properties related information.","National Energy Technology 
Laboratory","Using natural language processing, deep learning neural networks, and 
possibly tensor flow for image analytics.",,"Big Data, Natural 
Language 
Processing, Other"
"To identify and characterization REE-
CM hot zones using machine 
learning-aided multi-physics.","National Energy Technology 
Laboratory","Develop and field demonstrate a machine learning (ML)-aided multi-
physics approach for rapid identification and characterization of REE-
CM hot zones in mine tailings with a focus on coal and sulfide mine 
tailings or other processing or utilization byproducts, such as fly ash and 
refuse deposits.",,Artificial Intelligence Unknown
"To implement boiler health 
monitoring using a hybrid first 
principles-artificial intelligence model","National Energy Technology 
Laboratory","Develop methodologies and algorithms to yield (1) a hybrid first-
principles artificial intelligence (AI) model of a PC boiler, (2) a physics-
based approach to material damage informed by ex-service component 
evaluation, and (3) an online health-monitoring framework that 
synergistically leverages the hybrid models and plant measurements to 
provide the spatial and temporal profile of key transport variables and 
characteristic measures for plant health.",,Artificial Intelligence Unknown
"To implement machine learning to 
predict aerodynamic and 
combustion characteristics in 
hydrogen turbine","National Energy Technology 
Laboratory","Design rules and reduced models will be formulated by combining high 
fidelity simulations of chemically reacting flow, stochastic modeling 
techniques, reduced modeling through machine learning and testing of 
injector configurations. These can be used in an industrial setting to 
predict the aerodynamic and combustion characteristics in hydrogen 
turbine combustors based upon which design decisions are made.",,Artificial Intelligence Unknown
"To implement novel SSC-CCS 
sensing technology and associated 
condition-based monitoring (CBM) 
software for improved understanding 
of the boiler tube failure 
mechanisms","National Energy Technology 
Laboratory","A preliminary condition-based monitoring (CBM) package with graphic 
user interface (GUI) will be developed. This CUI will allow the operators 
to view the current and historical signals of temperature profiles of the 
boiler tube at specific sensor locations. Combining the pre-existing 
conditions and the opinions from designers/operators/experts’ 
experiences, the system will be integrated with EPRI’s Boiler Failure 
Reduction Program to provide assessments on the health conditions of 
the boiler tubes, warnings/diagnoses on potential failures and locations, 
and suggestions on maintenance locations and schedules.",,
"To implement sensor-driven deep 
learning/artificial intelligence for 
power plant monitoring","National Energy Technology 
Laboratory","Sensor-driven deep learning/artificial intelligence for intelligent health 
monitoring capabilities that occur at the sensor (embedded computing) 
or base station (edge computing). Will give power plant operators more 
prediction tools about scheduling maintenance. Focus is on a high-
priority in-situ boiler temperature measurement system that relies on 
chipless RFID technology and much-needed temperature, pressure, 
environmental, and water quality industrial sensors.",,"Artificial 
Intelligence, Neural 
Networks"
"To implement unsupervised learning 
based interaction force model for 
nonspherical particles in 
incompressible flows","National Energy Technology 
Laboratory","Develop a neural network-based interaction (drag and lifting) force 
model. A database will be constructed of the interaction force between 
the non-spherical particles and the fluid phase based on the particle-
resolved direct numerical simulation (PR-DNS) with immersed boundary-
based lattice Boltzmann method (IB-LBM). An unsupervised learning 
method, i.e., variational auto-encoder (VAE), will be used to improve the 
diversity of the non-spherical particle library and to extract the primitive 
shape factors determining the drag and lifting forces. The interaction 
force model will be trained and validated with a simple but effective multi-
layer feed-forward neural network: multi-layer perceptron (MLP), which 
will be concatenated after the encoder of the previously trained VAE for 
geometry feature extraction.",,"Artificial 
Intelligence, Neural 
Networks"
"To improve control of hybrid SOFC-
gas turbine power systems.","National Energy Technology 
Laboratory","Machine learning algorithms are being developed and compared to 
other control methods for SOFC-gas turbine hybrid  power generation 
systems.",,Other
"To leverage disparate data to 
update assessments, analytics, and 
infromation for NATCARB and CS 
Atlas","National Energy Technology 
Laboratory","ML Is utilized to parse and generate additional data and information that 
can be parsed and labeled to provide additional inputs for geologic 
carbon storgae assessments from multiple sources.",,Other
"To leverage machine learning and 
predictive analytics to advance the 
state of the art in pipline 
infrastructure integrity management.","National Energy Technology 
Laboratory","The purpose of this project is to leverage advances in machine learning 
and predictive analytics to advance the state of the art in pipeline 
infrastructure integrity management using forecasted (predicted) 
pipeline condition, using large sets of pipeline integrity data (periodic 
nondestructive inspection, NDI) and continuous operational data (e.g., 
sensor data used to monitor flow rate and temperature) generated by oil 
and gas (O&G) transmission pipeline operators.",,Artificial Intelligence Unknown
"To leverage ML models to increase 
the size and complexity of problems 
that can be optimized within IDAES.","National Energy Technology 
Laboratory","The objective is to leverage ML models as surrogates for complex unit 
operations or to bridge between scales to increase the size and 
complexity of models that can be optimized within IDAES.",,Other
"To perform reconstruction of the 3D 
temperature field using Neural 
Networks with measured and known 
propagation paths.","National Energy Technology 
Laboratory","The sensor will first be tested up to 300 C. For high-temperature tests, 
the Recipient will use Alstom’s Industrial Size Burner Test Facility (ISBF) 
or another appropriate facility. The high-temperature sensor will be first 
tested from room temperature to 1,800 C. The results will be 
compared with data obtained using other methods such as surface 
acoustic wave (SAW), thermocouples, and optical fiber sensors. A 3D 
temperature mapping will be created by fusing the high-temperature 
sensor data. The Recipient will test the system’s survivability in a boiler 
environment. A high-temperature sensing array will be tested to map the 
temperature distribution within an exhaust pipe. The sensor array will be 
tested at one 6’’ port or a similar location. The Recipient will also 
perform reconstruction of the 3D temperature field using Neural 
Networks with measured and known propagation paths.",,Artificial Intelligence Unknown
"To provide an effective quality 
assurance method for additively 
manufactured gas","National Energy Technology 
Laboratory","The primary goal of this project is to develop a cost-effective quality 
assurance (QA) method that can rapidly qualify laser powder bed fusion 
(LPBF) processed hot gas path turbine components (HGPTCs) through 
a machine learning framework which would assimilate in-situ monitoring 
and measurement, ex-situ characterization, and simulation data.  The 
project technical deliverable will be a rapid QA tool capable of: i) building 
a metadata package of process-structure-property data and models 
intended for LPBF-processed HGPTCs by mining both simulation and in-
situ/ex-situ characterization data; and ii) qualifying online/offline a 
manufactured component by inputting simulation with/without in-situ 
monitoring data to the developed algorithms to predict porosity and 
fatigue properties. The target application of this QA tool will be 
advanced HGPTC produced by LPBF in Inconel 718. Data mining 
techniques will be developed to consolidate and analyze the 
heterogeneous big data stemmed from the aforementioned methods of 
upfront simulation, online monitoring and post-build characterization, and 
thus enabling a collaborative learning about the process-microstructure-
properties relationship. The resultant QA package includes a process-
structure-property database and machine learning tools for using LPBF 
metal AM to fabricate HGPTC. The developed metadata package 
enables online/offline qualification of additively manufactured turbine 
components by inputting simulation with/without in-situ monitoring data 
to the developed machine learning algorithms to predict porosity and 
fatigue properties.",,Artificial Intelligence Unknown
"To provide combustion performance 
and emissions optimization through 
integration of a miniaturized high-
temperature multi process 
monitoring system","National Energy Technology 
Laboratory","Project will develop control logic for automated control of lignite coal-
fired boiler. Plant operational data will be compared against monitoring 
data to determine when different sensor output from a miniaturized high 
temperature multi-process, high-spatial-resolution monitoring system 
signifies damaging conditions in that region of the boiler, and what 
operational changes can be made to eliminate the damaging condition. 
The control logic will be developed for automated control of soot-blowing 
and other boiler operations",,
"To provide insights into opportunities 
to beneficiate and use hydrocarbon 
infrastructure for alternative uses 
such as offshore carbon storage.","National Energy Technology 
Laboratory","Multiple big data-driven AI/ML models will be used to evaluate geologic, 
geospatial, and infrastructure related information to inform predictions 
using natural language processing, Artificial Neural Networks, and 
possibly bayesian networks as well.",,"Big Data, Other"
"To provide integrated boiler 
management through advanced 
condition monitoring and component 
assessment.","National Energy Technology 
Laboratory","The Integrated Creep-Fatigue Management System represents an 
online boiler damage monitoring system applicable to creep and fatigue.  
The system will be configured to allow connectivity to the plant data 
historian (e.g., OSISoft:PI) and to commercial finite element software 
(e.g., ANSYS and Abaqus). In addition to configuring interaction with 
finite element software, existing damage mechanism monitoring 
modules will also be deployed using online analytical calculations. This 
functionality will be applied to terminal tubes entering the boiler header 
for which the combined mechanisms of creep and oxidation can be 
calculated without the need for a finite element analysis.",,
"To provide natural gas leak 
detection and quality control","National Energy Technology 
Laboratory","Employing machine learning techniques to train sensing systems to 
quantify the concentration of natural gas species, distinguish between 
natural gas at different parts of the processing pipeline, and distinguish 
natural gas from natural and man-made interfering sources such as 
wetlands and agriculture.",,Artificial Intelligence Unknown
"To realize next generation solid-state 
power substation.","National Energy Technology 
Laboratory","The objective of the proposed project is to realize next generation solid-
state power substation (SSPS) incorporating machine learning, cyber-
physical anomaly detection, and multi-agent distributed networked 
control. The project will have the following capabilities: distributed control 
and coordination coupled with localized intelligence and sensing, 
autonomous control for plug-and-play, automatic reconfiguration, 
recovery, and restoration enabling decoupled, asynchronous, and fractal 
systems.",,Artificial Intelligence Unknown
"To research and develop physics-
aware and AI-enabled cyber-
physical intrusion response for the 
power grid.","National Energy Technology 
Laboratory","Responding to anomalous cyber and physical events in a timely manner 
requires fusing data from both cyber and physical sensors into 
actionable information. Thus, cyber-physical intrusion response research 
will be conducted that leverages cyber and physical side data and 
models with artificial intelligence (AI) as a scalable approach to maintain 
or regain power system resilience under anomalous incidents such as 
cyber threats.",,Artificial Intelligence Unknown
"To use advanced machine learning 
techniques to analyze static and 
dynamic measurements of proppant 
distribution and fracture geometry 
data.","National Energy Technology 
Laboratory","The project will use advanced ML techniques to analyze static and 
dynamic measurements of proppant distribution and fracture geometry 
data from thousands of microchips injected with proppant near the 
wellbore.",,Artificial Intelligence Unknown
"To use AI to calibrate the simulation 
model by matching simulation data 
with production history data.","National Energy Technology 
Laboratory","Task 2 - Together with GEM, CMG’s intelligent optimization and analysis 
tool, CMOST Artificial Intelligence (AI), will be used to calibrate the 
simulation model by matching simulation results with production history 
data. . Based on the data sets, a series of simulation cases will be 
generated to perform parameter estimation using a systematic 
approach. As simulation jobs complete, the results will be analyzed 
using CMOST AI to determine how well they match production history. 
An optimizer will then determine parameter values for new simulation 
jobs.",,Artificial Intelligence Unknown
"To use computational tools to 
optimize the design of solid CO2 
sorbents.","National Energy Technology 
Laboratory","The objective of this project is to use computational tools to optimize the 
design of solid CO2 sorbents based on functionalized PIM-1 (or other 
porous, glassy polymers) impregnated with molecular primary amines. 
The expected outcome of this project is to inform, via computational 
methods, which polymer structure and which molecular amines can lead 
to a solid sorbent in which CO2 loading capacity, CO2 heat of 
adsorption, and overall CO2 mass transfer rate are optimal at extremely 
low CO2 partial pressures while amine leaching has been minimized.",,Other
"To use data analytics and machine 
learning techniques to advance 
understanding of the characteristics 
of the Emerging Paradox Oil Play","National Energy Technology 
Laboratory","Using data analytics and machine learning techniques to advance 
understanding of the characteristics of the entire Parardox oil play 
through integration of geologic and log-derived “electrofacies” models 
and upscaling to 3D seismic data and propagation through the seismic 
volume.",,"Artificial 
Intelligence, Big 
Data, Neural 
Networks"
"To use ML to help identify promising 
oxygen carrier materials.","National Energy Technology 
Laboratory","A combination of experimental data and computational results  will be 
used both to understand O2 production and to develop a machine 
learning model that can be used to identify promising carrier 
compositions. These compositions will be evaluated on two primary 
criteria, performance and ability to be synthesized. Once the model has 
identified promising candidates, these materials will be synthesized and 
compared to existing carriers. This new data will then be used to refine 
the models.",,Other
"To verify and validate testing of 
advanced power generation 
technologies","National Energy Technology 
Laboratory","Verification and validation testing with direct support and collaboration 
from operating power plants with advanced power generation 
technologies and prime mover and downstream systems using near-
real-time data, resulting in better informed plant operators, and reduced 
disruptions, while meeting changing service demands based on 
enhanced operating flexibility",,"Artificial 
Intelligence, Big 
Data"
"Transform reservoir management 
decisions through rapid analysis of 
real time data to visualize forecasted 
behavior in an advanced control 
room ""human-in-the-loop"" format.","National Energy Technology 
Laboratory","Improve low-fidelity model performance by transfer-learning with high-
fidelity data, and reduce uncertainty by combining high-fidelity and lower-
fidelity models for improved UQ performance.",,Other
"Uncertainty Quantification and 
Instrument Automation to enable 
next generation cosmological 
discoveries",Fermi National Accelerator,"This project will develop AI-based tools to enable critical sectors for near-
future cosmic applications. Uncertainty quantification is essential for 
performing discovery science now, and simulation-based inference 
offers a new approach. The automated design and control of 
instrumentation will be important for improving the efficiency of planning 
and executing cosmic experiments.",,"Artificial 
Intelligence, Big 
Data, Neural 
Networks"
"UNET and other approaches for ML-
based inversion","National Energy Technology 
Laboratory","Researchers will develop a design basis for risk-based monitoring 
considering data dimensionality, uncertainty, and inter-tool/module 
connectivity, and define the components of the monitoring design 
optimization tool (DREAM) to be incorporated into NRAP-Open-IAM and 
the SMART platform.",,"Artificial 
Intelligence, Other"
Universal MCEG,Thomas Jefferson Laboratory,"R&D on ML based MC event generator that serves as data 
compatification utility.",,
"Use AI to process large sensor 
datasets for identification and 
classification of NG pipeline 
conditions and methane leaks","National Energy Technology 
Laboratory","Focused on development of advanced data analytic techniques and 
methods for distributed OFS technology, including AI and ML, for 
identification of signatures and patterns representative of hazards, 
defects, and operational parameters of the natural gas pipeline network.",,"Big Data, Other"
"Use ML to analyze the existing H2 
and natural gas pipelines to identify 
the key parameters that can enable 
the H2 transport and storage at a 
large scale","National Energy Technology 
Laboratory","This task aims to use geo-data science methods and geospatial 
information science to analyze the existing H2 and natural gas pipelines 
to identify the key parameters that can enable the H2 transport and 
storage at a large scale. The results can help to justify the importance of 
real-time pipeline monitoring and recommend optimized sensor 
deployment strategies to support smart maintenance and methane 
emissions reduction goals.",,"Big Data, Other"
"Use ML to enable a geophysical 
monitoring toolkit, and assimilate 
real-time modeling and data.","National Energy Technology 
Laboratory","ML-enabled rapid and autonomous geophysical monitoring and real-
time modeling and data assimilation tools (along with visualization and 
decision-support frameworks), work together to radically improve 
pressure and stress imaging.",,Other
"Use ML to reduce high-fidelity 
physical models to a fast calculation 
that requires minimal effort to 
initiate.","National Energy Technology 
Laboratory","The platform will combine an intuitive user interface and visualization 
capabilities from gaming software with the speed and enhanced detail in 
evaluating reservoir dynamics and processes through ML /reduced 
order model approaches. Advancements made with ML will alleviate the 
need for both the expert user and the computational infrastructure and 
make understanding subsurface fluid flow accessible to the everyday 
user with a moderate level of understanding of the physics of the 
system. ML will allow the experts to reduce the high-fidelity physical 
models to a fast calculation that requires a minimal amount of effort to 
initiate, but allows a user to investigate their own scenarios without the 
need for predetermined models. Application of the platform will rapidly 
enhance the experience base required for deploying and managing 
commercial-scale projects, particularly for CO2 storage projects where 
field experience is limited, because of the anticipated intuitive translation 
of subsurface dynamics in real-time.",,Other
"Use of machine learning models to 
produce surrogates for efficient 
optimization","National Energy Technology 
Laboratory","We consider the use of machine learning models to produce surrogates 
for efficient optimization. The IDAES implementation will be 
demonstrated on a real-scale design problem focused on carbon 
capture (e.g., rigorous MEA model), or an integrated energy system.",,Other
"Using AI to improve predcitions of 
subsurface properties, analyze multi-
variate inputs, address knowledge 
and information gaps to improve 
predictions and modeli","National Energy Technology 
Laboratory","Use of AI methods such as fuzzy logic, neural networks, tensor flow, 
and natural language processing to assist with knowledge and data 
exploration, transformation and integration, as well as modeling and 
analysis of multi-variate data used in the resource assessment method 
to improve outputs and predictions.",,"Artificial 
Intelligence, Big 
Data, Other"
"Using AI/ML to replace conventional 
geophysics inversion - does the 
process quicker than the typical 
method. Make geophysical results 
more user-friendly.","National Energy Technology 
Laboratory","The project will deploy a high sensitivity atomic magnetometer 
(potassium magnetometer or helium 4 magnetometer) on a sUAS 
platform. Baseline surveys using the sUAS platform with the magnetic 
receiver payload will be flown at the same CarbonSAFE site that 
baseline ground surveys were performed in EY21. Results of the 
forward modeling performed in EY20 will determine whether MT or 
CSEM (or both) methods will be tested. Using AI/ML to replace 
conventional geophysics inversion - does the process quicker than the 
typical method. Make geophysical results more user-friendly.",,Neural Networks
"Using ML to build predictive models 
of branching processes and develop 
novel algorithms for automated MIP 
solver tuning","National Energy Technology 
Laboratory","We will collect dual gaps obtained as a result of using different 
branching strategies and feed them into ALAMO, Pysmo, and other 
machine learning approaches to build predictive models of branching 
processes as a function of carefully chosen instance features. These 
models will then be deployed as part of the IDAES platform to facilitate 
optimization of advanced integrated energy systems.  o Currently, tuning 
MIP solvers for a particular application is approached by ad-hoc trial-and-
error methods that are tedious and often ineffective, limiting design 
engineers to solution of small problems. To address this challenge and 
facilitate the solution of energy systems currently intractable, we 
propose to develop novel algorithms for automated MIP solver tuning 
through the use of machine learning.",,Other
"Using ML to design sensing 
materials which can work under 
harsh environments.","National Energy Technology 
Laboratory","The team proposes to develop an ML approach that relies upon 
established experimental and theoretical evidence to gain a 
comprehensive ML model and boost the gas sensing material design. 
The essence of this approach will be to assess materials’ optimal 
performance at a specific condition, such as temperature, pressure, and 
radiation levels. The development of the package will occur in several 
steps: (1) building a materials database from various sources; (2) using 
ML techniques to build, evaluate, and optimize an ML model; (3) 
predicting the temperature dependence of sensing properties, such as 
gas selectivity, for FECM relevant gas species to screen the materials in 
the material bank, or proposing new sensing materials; and (4) exploring 
the gas sensing mechanisms suited for high-temperature application for 
those predicted most promising gas sensing materials.",,Other
"Using natural language processing 
to explore and extract information 
from historical literature/pdfs","National Energy Technology 
Laboratory","Training and adaptation of natural lanaguage processing algorithms to 
improve exploration and extraction of information from old, historical 
scientific literature.  Extraction of knowledge and data, as well as 
preservation of key information.",,"Big Data, Natural 
Language 
Processing, Other"
"Using recursive neural networks and 
using fiber optic cables to recognize 
strain patterns and warn operators a 
fracture is coming.","National Energy Technology 
Laboratory","This project will develop an ML algorithm to predict the time when a 
growing fracture will reach the monitored well. The ML workflow will be 
trained on the distinctive tensile strain signature that precedes the 
growing fracture. The new workflow will be designed to work in 
conjunction with the fracture warning ML workflow developed in EY21. 
Together, these workflows will: (1) provide an early warning of well-to-
well communication, (2) predict the measured depths where the 
communication will happen, and (3) provide an estimated time until the 
beginning of well-to-well communication.",,"Neural Networks, 
Other"
"Using time-series classification to 
assist in automated analysis of 
sensor data taken during 
experiments on the MHD test 
channel.","National Energy Technology 
Laboratory","The measurements of chemical composition will be combined with 
resistance measurements to validate CFD models of the MHD channel 
system. Specifically, validated CFD models will be able to separate the 
contribution of the bulk and boundary layer resistance to the overall 
resistance of the MHD channel.",,Other
"With sensor technologies and 
network developed, in the future, 
AI/ML may be used to accelerate 
data processing of sensor data from 
the sensor network.","National Energy Technology 
Laboratory","With sensor technologies and network developed, in the future, AI/ML 
may be used to accelerate data processing of sensor data from the 
sensor network to identify and predict risks and failures in plugged wells.",,
